"plu_balanza","nombre","precio_venta","codigo_barra_externo","mg"
"1","PAN CORRIENTE","1990","0000100000","25"
"2","PAN ESPECIAL","2500","0000200000","25"
"3","HUEVO SUPER","380","0000300000","25"
"4","HUEVO EXTRA","350","0000400000","25"
"5","HUEVO PRIMERA","320","0000500000","25"
"6","HUEVO SUPER BANDEJA","8000","0000600000","25"
"7","HUEVO EXTRA BANDEJA","9400","0000700000","25"
"8","HUEVO PRIMERA BANDEJA","8900","0000800000","25"
"9","PAN CON CHICHARRON","1500","0000900000","25"
"10","BOLSA PAPEL GRANDE","100","0001000000","25"
"11","BOLSA PAPEL CHICA","70","0001100000","25"
"12","PAN DE HOJA","3500","0001200000","25"
"13","ENSALADA 1","1500","0001300000","25"
"14","ENSALADA 2","1000","0001400000","25"
"15","ALCACHOFA COCIDA","2000","0001500000","25"
"16","BOMBON","200","0001600000","25"
"17","OTROS","1","0001700000","25"
"18","CHUPETE","200","0001800000","25"
"19","MANJAR TITY","200","0001900000","25"
"20","MEDICAMENTO","1","0002000000","25"
"21","CONDIMENTOS","1","0002100000","25"
"22","CARAMELOS","1","0002200000","25"
"23","PILAS","1","0002300000","25"
"24","VIRUTEX DORADA","550","0002400000","25"
"25","FOSFOROS","200","0002500000","25"
"26","GROSSO CHICLE","100","0002600000","25"
"27","CHUPETE MABU","300","0002700000","25"
"28","CHER AMBROSOLI","400","0002800000","25"
"29","TROPICAL COCO","200","0002900000","25"
"30","CABSHA","200","0003000000","25"
"31","BOLSA BASURA CH","200","0003100000","25"
"32","BOLSA BASURA M","300","0003200000","25"
"33","BOLSA BASURA G","350","0003300000","25"
"34","BOLSA BASURA CARGA PESADA","450","0003400000","25"
"35","BOLSA BASURA TRANSPARENTE","850","0003500000","25"
"36","BOLSA BASURA GIGANTE","1270","0003600000","25"
"37","CHIP PREPRAGO","1300","0003700000","25"
"38","OLD ENGLAND TOFFEE CHOCOLATE","100","0003800000","25"
"39","OLD ENGLAND TOFFEE MINT","50","0003900000","25"
"40","BROWNIE VOBRO","400","0004000000","25"
"41","DEPOSITO BOTELLA","1000","0004100000","25"
"42","CAREZZA BOMBON","400","0004200000","25"
"69","HARINA","1500","0006900000","25"
"70","ARVEJAS DESGRANADAS","2500","0007000000","25"
"71","HABAS","2500","0007100000","25"
"72","POROTOS","3500","0007200000","25"
"73","JENGIBRE RAIZ","12000","0007300000","25"
"74","JENGIBRE POLVO","10000","0007400000","25"
"75","CARNE SOYA","3800","0007500000","25"
"76","DIENTE DRAGON","2100","0007600000","25"
"77","MAIZ","2200","0007700000","25"
"78","LENTEJAS","2990","0007800000","25"
